group	File
15m.control	GSM1183286_0nM_silver_15min_rep1.txt.gz
15m.control	GSM1183287_0nM_silver_15min_rep2.txt.gz
15m.control	GSM1183288_0nM_silver_15min_rep3.txt.gz
15m.10nM	GSM1183289_10nM_silver_15min_rep1.txt.gz
15m.10nM	GSM1183290_10nM_silver_15min_rep2.txt.gz
15m.10nM	GSM1183291_10nM_silver_15min_rep3.txt.gz
15m.100nM	GSM1183292_100nM_silver_15min_rep1.txt.gz
15m.100nM	GSM1183293_100nM_silver_15min_rep2.txt.gz
15m.100nM	GSM1183294_100nM_silver_15min_rep3.txt.gz
15m.200nM	GSM1183295_200nM_silver_15min_rep1.txt.gz
15m.200nM	GSM1183296_200nM_silver_15min_rep2.txt.gz
15m.200nM	GSM1183297_200nM_silver_15min_rep3.txt.gz
60m.control	GSM1183298_0nM_silver_1h_rep1.txt.gz
60m.control	GSM1183299_0nM_silver_1h_rep2.txt.gz
60m.control	GSM1183300_0nM_silver_1h_rep3.txt.gz
60m.10nM	GSM1183301_10nM_silver_1h_rep1.txt.gz
60m.10nM	GSM1183302_10nM_silver_1h_rep2.txt.gz
60m.10nM	GSM1183303_10nM_silver_1h_rep3.txt.gz
60m.100nM	GSM1183304_100nM_silver_1h_rep1.txt.gz
60m.100nM	GSM1183305_100nM_silver_1h_rep2.txt.gz
60m.100nM	GSM1183306_100nM_silver_1h_rep3.txt.gz
60m.200nM	GSM1183307_200nM_silver_1h_rep1.txt.gz
60m.200nM	GSM1183308_200nM_silver_1h_rep2.txt.gz
60m.200nM	GSM1183309_200nM_silver_1h_rep3.txt.gz
300m.control	GSM1183310_0nM_silver_5h_rep1.txt.gz
300m.control	GSM1183311_0nM_silver_5h_rep2.txt.gz
300m.control	GSM1183312_0nM_silver_5h_rep3.txt.gz
300m.10nM	GSM1183313_10nM_silver_5h_rep1.txt.gz
300m.10nM	GSM1183314_10nM_silver_5h_rep2.txt.gz
300m.10nM	GSM1183315_10nM_silver_5h_rep3.txt.gz
300m.100nM	GSM1183316_100nM_silver_5h_rep1.txt.gz
300m.100nM	GSM1183317_100nM_silver_5h_rep2.txt.gz
300m.100nM	GSM1183318_100nM_silver_5h_rep3.txt.gz
300m.200nM	GSM1183319_200nM_silver_5h_rep1.txt.gz
300m.200nM	GSM1183320_200nM_silver_5h_rep2.txt.gz
300m.200nM	GSM1183321_200nM_silver_5h_rep3.txt.gz
960m.control	GSM1183322_0nM_silver_16h_rep1.txt.gz
960m.control	GSM1183323_0nM_silver_16h_rep2.txt.gz
960m.control	GSM1183324_0nM_silver_16h_rep3.txt.gz
960m.10nM	GSM1183325_10nM_silver_16h_rep1.txt.gz
960m.10nM	GSM1183326_10nM_silver_16h_rep2.txt.gz
960m.10nM	GSM1183327_10nM_silver_16h_rep3.txt.gz
960m.100nM	GSM1183328_100nM_silver_16h_rep1.txt.gz
960m.100nM	GSM1183329_100nM_silver_16h_rep2.txt.gz
960m.100nM	GSM1183330_100nM_silver_16h_rep3.txt.gz
960m.200nM	GSM1183331_200nM_silver_16h_rep1.txt.gz
960m.200nM	GSM1183332_200nM_silver_16h_rep2.txt.gz
960m.200nM	GSM1183333_200nM_silver_16h_rep3.txt.gz
